concept,d,Lect1,Semantic field,Lect 1,AN?,Form1,check_form1,ID1,oldID1,Lect2,Lect 2,AN?,Form2,check_form2,ID2,oldID2,Hanna,Comments Hanna,Marian,Owen,Axel,Gereon,Cognate
angry,,tetu1245-vique,,,,nawan_ˈsaʔe,nawan_ˈsaʔe,49728,26709,alor1247-pandai,,,kˈlikil,kˈlikil,4824,9464,,,,,,-0.5,-0.5
white,,kaer1234,,,,mijaˈqo,mijaˈqo,16153,19800,idat1237,,,puˈtin,puˈtin,14733,15603,,,,,,-0.5,-0.5
who,,adan1251-otvai,,,,ˈaːno,ˈaːno,2405,15059,seba1248,,,mi,mi,45358,51551,,,,,,-0.5,-0.5
where,,oira1263,,,,inaˈnani,inaˈnani,39549,47093,alor1247-pandai,,,ərˈga,ərˈga,4660,9299,,,,,,-0.5,-0.5
what,,buna1278-bobon,,,,negɔ,negɔ,9129,17177,alor1247-besar,,,pai,pai,3242,1061,,,,,,-0.5,-0.5
village,,komo1261,,,,kiliŋ,kiliŋ,21789,42703,abui1241-ulaga,,,aveŋ,aveŋ,1120,14163,,,,,,-0.5,-0.5
two,,alor1247-baran,,,,rua,rua,3007,11146,abui1241-fuime,,,ajoku,ajoku,329,12716,,,,,,-0.5,-0.5
turtle,,bima1247,,,,,fonu,6304,39901,tetu1245-suai,,,lenuk,lenuk,49041,27523,,,,,,-0.5,-0.5
1pl_excl,,maka1316,,,,ini,ini,35337,23380,kema1243-kaila,,,ami,ami,19734,53469,,,,,,-0.5,-0.5
2pl,,koto1251,,,,hi:,hi:,22041,49319,teiw1235,,,,ji,47525,10467,,,,,,-0.5,-0.5
2sg_informal,,kula1280-lanto,,,,ˈjən,ˈjən,23505,28508,lama1277-lerek,,,mɔn,mɔn,28431,18793,,,,,,-0.5,-0.5
2sg_polite,,buna1278-malia,,,,ʔɛtɔ,ʔɛtɔ,9658,4041,komo1261,,,hite,hite,21202,42013,,,,,,-0.5,-0.5
3pl,,dela1252,,,,sira,sira,11098,50037,maka1316,,,wɛra,wɛra,35340,23383,,,,,,-0.5,-0.5
3sg,,buna1278-bobon,,,,baʔi,baʔi,9118,17166,ende1246,,,,kai,11946,40492,,,,,,-0.5,-0.5
house,,adan1251-otvai,,,,ˈɓaːŋ,ˈɓaːŋ,2275,14929,lama1277-kalik,,,uˈnan,uˈnan,26463,22323,,,,,,-0.5,-0.5
lime,,kira1248,,,,oi,oi,20869,5610,kuii1253,,,oːr,oːr,22584,6262,,,,,1,,1
to_steal,,kama1365,,,,takaːwa,takaːwa,17162,30002,adan1251-otvai,,,ˈtaʔu,ˈtaʔu,2620,15276,,,,,1,,1
to_steal,,kabo1247,,,,nataʔaw,nataʔaw,15775,359,adan1251-otvai,,,ˈtaʔu,ˈtaʔu,2620,15276,,,,,1,,1
louse_in_hair,,adan1251-otvai,,,,ˈoin,ˈoin,2460,15116,kira1248,,,kon,kon,20993,5735,,,,,1,,1
egg,,wers1238-marit,,,,soˈal,soˈal,52111,21283,kula1280-lanto,,,wala,wala,23087,7616,,,,,1,,1
rice_ear_bug,,abui1241-takal,,,,kä.ˈme̞.liŋ,kä.ˈme̞.liŋ,756,13796,adan1251-otvai,,,aˈmariŋ,aˈmariŋ,2458,15114,,,,,1,,1
day,,kabo1247,,,,wer,wer,15435,5,adan1251-otvai,,,ˈfed,ˈfed,2206,14860,,,,,1,,1
raised_platform,,abui1241-fuime,,,,lik,lik,58,12444,fata1247,,,,lɔpɔ,13156,11845,,,,,-1,,-1
child,,abui1241-takal,,,,mo.ˈqu,mo.ˈqu,669,13703,fata1247,,,,mɔt͡ɕɔ,13271,11962,,,,,-1,,-1
to_float,,fata1247,,,,,ira_ˈpuhuˈnɛ,13507,12201,abui1241-fuime,,,ije_fauiti,ije_fauiti,299,12686,,,,,1,,1
to_open,,adan1251-otvai,,,,ˈduriŋ,ˈduriŋ,2621,15277,fata1247,,,,t͡ɕaru,13524,12218,,,,,1,,1
murder,,buna1278-bobon,,,,gume,gume,9508,17563,kelo1247-hopte,,,təˈbɛːr,təˈbɛːr,19192,22181,,,,,-1,,-1
short / tall,,kama1365,,,,maruk,maruk,17277,30119,wers1238-marit,,,ajaŋ,ajaŋ,52429,21603,,,,,-1,,-1
meat,,kuii1253,,,,is,is,22612,6290,wers1238-marit,,,sis,sis,51982,21153,,,,,1,,1
to_hear,,kabo1247,,,,meˈʔehe,meˈʔehe,15691,271,kula1280-lanto,,,magin,magin,23154,7685,,,,,1,,1
to_tell,,sawi1256,,,,bisiˈara,bisiˈara,45076,26352,wers1238-marit,,,le_ˈbisar,le_ˈbisar,52416,21589,,,,,1,,1
that,,fata1247,,,,,iˈwiʔi,13305,11996,kama1365,,,+sa,+sa,16909,29747,,,,,-1,,-1
that,,abui1241-takal,,,,tɔ,tɔ,708,13745,kama1365,,,+sa,+sa,16909,29747,,,,,1,,1
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
